month,total.total,timeRange.start,timeRange.end
2001-03-16T00:00:00.000Z,47,2001-03-16T00:00:00.000Z,2001-03-17T00:00:00.000Z
2001-03-17T00:00:00.000Z,41,2001-03-17T00:00:00.000Z,2001-03-18T00:00:00.000Z
2001-03-18T00:00:00.000Z,31,2001-03-18T00:00:00.000Z,2001-03-19T00:00:00.000Z
2001-03-19T00:00:00.000Z,46,2001-03-19T00:00:00.000Z,2001-03-20T00:00:00.000Z
2001-03-20T00:00:00.000Z,29,2001-03-20T00:00:00.000Z,2001-03-21T00:00:00.000Z
2001-03-21T00:00:00.000Z,58,2001-03-21T00:00:00.000Z,2001-03-22T00:00:00.000Z
2001-03-22T00:00:00.000Z,69,2001-03-22T00:00:00.000Z,2001-03-23T00:00:00.000Z
2001-03-23T00:00:00.000Z,83,2001-03-23T00:00:00.000Z,2001-03-24T00:00:00.000Z
2001-03-24T00:00:00.000Z,140,2001-03-24T00:00:00.000Z,2001-03-25T00:00:00.000Z
2001-03-25T00:00:00.000Z,41,2001-03-25T00:00:00.000Z,2001-03-26T00:00:00.000Z
2001-03-26T00:00:00.000Z,79,2001-03-26T00:00:00.000Z,2001-03-27T00:00:00.000Z
2001-03-27T00:00:00.000Z,90,2001-03-27T00:00:00.000Z,2001-03-28T00:00:00.000Z
2001-03-28T00:00:00.000Z,67,2001-03-28T00:00:00.000Z,2001-03-29T00:00:00.000Z
2001-03-29T00:00:00.000Z,33,2001-03-29T00:00:00.000Z,2001-03-30T00:00:00.000Z
2001-03-30T00:00:00.000Z,89,2001-03-30T00:00:00.000Z,2001-03-31T00:00:00.000Z
2001-03-31T00:00:00.000Z,43,2001-03-31T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,23,2001-04-01T00:00:00.000Z,2001-04-02T00:00:00.000Z
2001-04-02T00:00:00.000Z,45,2001-04-02T00:00:00.000Z,2001-04-03T00:00:00.000Z
2001-04-03T00:00:00.000Z,44,2001-04-03T00:00:00.000Z,2001-04-04T00:00:00.000Z
2001-04-04T00:00:00.000Z,40,2001-04-04T00:00:00.000Z,2001-04-05T00:00:00.000Z
2001-04-05T00:00:00.000Z,46,2001-04-05T00:00:00.000Z,2001-04-06T00:00:00.000Z
2001-04-06T00:00:00.000Z,45,2001-04-06T00:00:00.000Z,2001-04-07T00:00:00.000Z
2001-04-07T00:00:00.000Z,38,2001-04-07T00:00:00.000Z,2001-04-08T00:00:00.000Z
2001-04-08T00:00:00.000Z,16,2001-04-08T00:00:00.000Z,2001-04-09T00:00:00.000Z
2001-04-09T00:00:00.000Z,19,2001-04-09T00:00:00.000Z,2001-04-10T00:00:00.000Z
2001-04-10T00:00:00.000Z,15,2001-04-10T00:00:00.000Z,2001-04-11T00:00:00.000Z
2001-04-11T00:00:00.000Z,33,2001-04-11T00:00:00.000Z,2001-04-12T00:00:00.000Z
2001-04-12T00:00:00.000Z,66,2001-04-12T00:00:00.000Z,2001-04-13T00:00:00.000Z
2001-04-13T00:00:00.000Z,64,2001-04-13T00:00:00.000Z,2001-04-14T00:00:00.000Z
2001-04-14T00:00:00.000Z,22,2001-04-14T00:00:00.000Z,2001-04-15T00:00:00.000Z
2001-04-15T00:00:00.000Z,22,2001-04-15T00:00:00.000Z,2001-04-16T00:00:00.000Z
2001-04-16T00:00:00.000Z,33,2001-04-16T00:00:00.000Z,2001-04-17T00:00:00.000Z
2001-04-17T00:00:00.000Z,29,2001-04-17T00:00:00.000Z,2001-04-18T00:00:00.000Z
2001-04-18T00:00:00.000Z,21,2001-04-18T00:00:00.000Z,2001-04-19T00:00:00.000Z
2001-04-19T00:00:00.000Z,17,2001-04-19T00:00:00.000Z,2001-04-20T00:00:00.000Z
2001-04-20T00:00:00.000Z,39,2001-04-20T00:00:00.000Z,2001-04-21T00:00:00.000Z
2001-04-21T00:00:00.000Z,21,2001-04-21T00:00:00.000Z,2001-04-22T00:00:00.000Z
2001-04-22T00:00:00.000Z,45,2001-04-22T00:00:00.000Z,2001-04-23T00:00:00.000Z
2001-04-23T00:00:00.000Z,173,2001-04-23T00:00:00.000Z,2001-04-24T00:00:00.000Z
2001-04-24T00:00:00.000Z,14,2001-04-24T00:00:00.000Z,2001-04-25T00:00:00.000Z
2001-04-25T00:00:00.000Z,13,2001-04-25T00:00:00.000Z,2001-04-26T00:00:00.000Z
2001-04-26T00:00:00.000Z,80,2001-04-26T00:00:00.000Z,2001-04-27T00:00:00.000Z
2001-04-27T00:00:00.000Z,35,2001-04-27T00:00:00.000Z,2001-04-28T00:00:00.000Z
2001-04-28T00:00:00.000Z,8,2001-04-28T00:00:00.000Z,2001-04-29T00:00:00.000Z
2001-04-29T00:00:00.000Z,80,2001-04-29T00:00:00.000Z,2001-04-30T00:00:00.000Z
2001-04-30T00:00:00.000Z,17,2001-04-30T00:00:00.000Z,2001-05-01T00:00:00.000Z
2001-05-01T00:00:00.000Z,45,2001-05-01T00:00:00.000Z,2001-05-02T00:00:00.000Z
2001-05-02T00:00:00.000Z,21,2001-05-02T00:00:00.000Z,2001-05-03T00:00:00.000Z
2001-05-03T00:00:00.000Z,47,2001-05-03T00:00:00.000Z,2001-05-04T00:00:00.000Z
2001-05-04T00:00:00.000Z,132,2001-05-04T00:00:00.000Z,2001-05-05T00:00:00.000Z
2001-05-05T00:00:00.000Z,59,2001-05-05T00:00:00.000Z,2001-05-06T00:00:00.000Z
2001-05-06T00:00:00.000Z,4,2001-05-06T00:00:00.000Z,2001-05-07T00:00:00.000Z
2001-05-07T00:00:00.000Z,30,2001-05-07T00:00:00.000Z,2001-05-08T00:00:00.000Z
2001-05-08T00:00:00.000Z,19,2001-05-08T00:00:00.000Z,2001-05-09T00:00:00.000Z
2001-05-09T00:00:00.000Z,27,2001-05-09T00:00:00.000Z,2001-05-10T00:00:00.000Z
2001-05-10T00:00:00.000Z,121,2001-05-10T00:00:00.000Z,2001-05-11T00:00:00.000Z
2001-05-11T00:00:00.000Z,66,2001-05-11T00:00:00.000Z,2001-05-12T00:00:00.000Z
2001-05-12T00:00:00.000Z,56,2001-05-12T00:00:00.000Z,2001-05-13T00:00:00.000Z
2001-05-13T00:00:00.000Z,42,2001-05-13T00:00:00.000Z,2001-05-14T00:00:00.000Z
2001-05-14T00:00:00.000Z,90,2001-05-14T00:00:00.000Z,2001-05-15T00:00:00.000Z
